tokens;tickers;Total tests;Ecart BB 4d;Position % BB 4d;Position % BB 4h;Position % BB 30m;Tests MM 4d;Tests MM 4h;Tests MM 30m;"Combo RSI";"Tests RSI";Surventes RSI 4d;Surachats RSI 4d;Tests CCI;Test CHOP;chop 4d;chop 4h;chop 30m;Charged chop 4d;Charged chop 4h;Charged chop 30m;notation vol;var vol 1 jour;var vol 7 jours;var vol 14 jours
immutable-x;imx;7;56%;4%;49%;50%;0;1;110;;11;15;-145;10;0;44;46;42;34;46;54;2;1%;8%;1%
electroneum;etn;7;27%;28%;28%;78%;0;0;11;;10;6;-91;0;1;50;53;96;43;47;47;1;-2%;-6%;-13%
xdce-crowd-sale;xdc;7;280%;60%;19%;10%;110;100;0;;0;27;36;10;1;11;75;37;57;43;35;1;0%;-4%;-3%
utrust;utk;7;53%;10%;44%;42%;0;1;100;;11;7;-129;0;1;52;75;42;34;44;51;2;0%;6%;0%
alpine-f1-team-fan-token;alpine;7;17%;18%;43%;25%;0;10;0;;11;4;-110;0;2;59;51;66;41;46;45;2;1%;-20%;-21%
aioz-network;aioz;7;45%;19%;25%;48%;0;100;1;;10;0;-117;0;0;50;25;43;37;44;43;3;-1%;63%;-33%
santos-fc-fan-token;santos;7;16%;21%;64%;24%;0;10;0;;10;0;-115;0;1;67;31;51;38;50;47;2;0%;-3%;19%
cream-2;cream;7;520%;32%;29%;0%;0;0;100;;10;18;-75;10;3;67;71;61;38;45;39;1;3%;4%;-18%
alchemix;alcx;7;60%;14%;22%;55%;0;100;1;;10;5;-114;0;1;45;62;47;30;45;47;1;2%;-6%;-30%
chromaway;chr;7;75%;13%;97%;43%;0;11;100;;11;9;-122;0;0;51;38;53;34;56;53;3;1%;153%;82%
mirror-protocol;mir;7;467%;19%;59%;41%;0;10;1;;10;0;-94;0;1;50;29;72;29;50;46;3;2%;26%;-35%
melon;mln;7;28%;1%;44%;44%;0;10;1;;10;4;-157;0;1;35;63;31;35;42;49;1;-2%;-3%;-7%
bitcoin-cash-sv;bsv;7;74%;22%;33%;41%;100;0;101;;1;1;-111;0;1;51;58;34;44;42;49;1;3%;-2%;-16%
yield-guild-games;ygg;7;1536%;52%;31%;20%;10;100;100;;1;2;12;0;0;13;46;43;50;44;44;2;0%;4%;-19%
truefi;tru;7;60%;15%;58%;24%;0;10;100;;10;8;-116;0;1;64;53;38;37;48;45;3;0%;18%;32%
sun-token;sun;7;18%;20%;40%;17%;0;10;100;;10;4;-114;10;1;50;69;42;41;45;44;1;0%;1%;-7%
nem;xem;7;38%;10%;50%;28%;0;10;101;;10;4;-127;0;1;50;59;21;34;45;44;1;0%;-5%;-10%
