tickers,cours,total_tests,ecart_BB_w,position_prix_BB_w,position_prix_BB_d,position_prix_BB_h4,ZL_MACD_hist,Tests_MM_w,Tests_MM_d,Tests_MM_h4,Tests_RSI,combo_rsi,Tests_CCI,combo_cci,CHOP_w,combo_chop,Hammer_1w,Hammer_1d,Tests_VOL,VOL_var_1d,VOL_var_7d,VOL_var_14d
ORN,1.053,10.0,1.2941715643019043,0.2476897448389737,0.4392748399924774,0.9811936134270871,111.0,0.0,1.0,111.0,0.0,,10.0,,55.5036157689922,,-1.0,190.0,1.0,4.402822812091146,0.7394344729387345,0.4158040930931421
OSMO,0.2623,5.0,4.6373515323717145,0.23569312748094945,0.09929520532034414,0.40802965228068117,101.0,0.0,0.0,1.0,100.0,,101.0,,42.646571383701975,,336.0,27.0,2.0,0.2766145627516291,-0.18560097248022786,-0.467528625964318
OXT,0.0638,4.0,1.4677211662012153,0.0680129677877742,-0.002019741775348366,0.33080915767843266,0.0,100.0,0.0,0.0,100.0,,100.0,,52.091022271705526,,35.0,27.0,1.0,-0.1560077188131893,-0.03411418899452031,-0.1914751363890895
PENDLE,2.709,13.0,4.87581289084545,0.2755017817480604,0.6776980142081378,0.9511876852616075,101.0,1.0,10.0,11.0,1.0,,1.0,,45.747518239743236,,112.0,31.0,1.0,-0.3484254069875572,-0.2876087842868803,-0.13541680080299698
PEOPLE,0.01492,7.0,17.019961600328486,0.24930951208574742,0.1350424177683776,0.3149951651140207,101.0,0.0,10.0,1.0,0.0,,11.0,,38.46958860007618,,378.0,12.0,0.0,-0.20839215494946328,-0.02242733321700755,-0.37943259390380435
PEPE,7.19e-06,11.0,21.467440687294566,0.2331746220445039,0.3858168052956173,0.4340040318862562,101.0,100.0,10.0,1.0,1.0,,1.0,,35.392575133946984,,35.0,13.0,1.0,0.08287040965953534,-0.13619446315117742,-0.25036852897797873
PERL,0.0046,2.0,1.4913075758746446,-0.49628282002875,0.12335986837940269,-0.033877999152617244,11.0,0.0,0.0,0.0,10.0,,10.0,oversold,44.419513144034255,,1309.0,553.0,1.0,1.9764214965630156,6.145373998080687,31.519517357982146
PERP,0.3306,6.0,9.700550719834647,0.21044029462232866,0.10955459128841402,0.364688134892908,101.0,0.0,0.0,1.0,100.0,,101.0,,38.50739902444077,,35.0,6.0,2.0,-0.24285912143594687,-0.17492445159213788,-0.26672522680641825
PHA,0.1012,2.0,1200.9688107985107,0.26854372506455315,-0.023527829709407595,0.09154433255999547,0.0,100.0,0.0,0.0,100.0,,100.0,,27.212834284214285,,35.0,13.0,1.0,-0.5865139950528596,-0.17090474038137562,0.45617267198971134
PHB,0.494,5.0,43.88609044546228,0.1868896462426664,-0.007461207467795076,0.31899130505298223,101.0,0.0,0.0,1.0,0.0,,1.0,,35.728228586751,,504.0,6.0,1.0,-0.38812468791095167,0.21102229614173942,-0.14176956633978044
PIVX,0.1401,5.0,3.1785685647347135,0.1732900495776673,0.03150785321592611,0.42288009680223576,101.0,0.0,0.0,1.0,100.0,,100.0,,38.04812406626074,,35.0,63.0,1.0,1.0863594353855028,-0.31299775120145196,-0.20615882490935022
PLA,0.2347,15.0,0.5974922372565077,0.8808343612661947,1.0196933910553043,0.9483332212077605,111.0,101.0,11.0,111.0,101.0,overbuyed,101.0,overbuyed,54.19847172795797,,672.0,451.0,1.0,0.09081606872243568,2.2702269899449004,1.2104790035113109
PNT,0.035,5.0,5.10814230798726,-0.2858189155172841,0.2573681886760844,0.13688976549178566,10.0,100.0,0.0,0.0,100.0,,100.0,,36.91257289610068,,-1.0,419.0,2.0,-0.4845203698020247,1.2880743919609987,7.916434409327205
POLS,0.3079,2.0,5.151830846885411,0.10669815676083494,0.1899477317174281,-0.0034982843297450454,100.0,100.0,0.0,0.0,0.0,,0.0,oversold,30.683906628706342,,-1.0,269.0,0.0,-0.35580649216676685,-0.7607426453569939,10.125483184654431
POLYX,0.1347,9.0,6.016085117098422,0.2203913144132109,0.5048993975853372,0.6828812433177647,101.0,0.0,10.0,11.0,0.0,,101.0,,38.65536836030563,,35.0,27.0,1.0,1.6936831545084987,0.5517858632276053,0.4834782855272678
POND,0.00978,6.0,3.7035376431952534,0.18366077753214416,-0.0008459009420440864,0.3666762235841057,101.0,100.0,0.0,1.0,100.0,,100.0,,41.16755433263637,,364.0,56.0,1.0,-0.39087764800061847,-0.25409427417016195,-0.7190595834645253
PORTO,1.014,8.0,2.0218044872424037,0.23004529132208196,0.2628954357796022,0.6150343384507764,101.0,0.0,0.0,1.0,0.0,,1.0,,47.32661566033316,,378.0,30.0,0.0,-0.41726826051034877,-0.16170733562723505,-0.2931694960877287
POWR,0.158,9.0,1.9773778569887774,0.1567979688605556,0.08481200530887582,0.4693583087425639,101.0,100.0,0.0,1.0,100.0,,100.0,,46.34228092773963,,378.0,31.0,1.0,0.14129715566329026,-0.38509591647343777,-0.0697232102811716
PROM,6.031,10.0,0.6085982240230997,0.4611236850683203,0.305375518511477,0.8930194152524089,1.0,10.0,100.0,11.0,110.0,,100.0,,42.60955371960144,,364.0,56.0,2.0,0.45820255108784747,0.6971023983340133,-0.3898587787268658
PROS,0.3544,6.0,2.9903447226029884,0.24459348742327489,0.11089836753121246,0.32359143428960635,111.0,100.0,100.0,1.0,100.0,,100.0,,49.41371482343029,,35.0,31.0,0.0,1.40545547040023,-0.10577646274034737,-0.7151859989311024
PSG,2.285,12.0,1.2197952874541085,0.30070496870378083,0.8064562922480043,0.702700587503633,101.0,1.0,11.0,11.0,101.0,,101.0,,47.11585922835966,,252.0,56.0,0.0,-0.6734909525975646,0.033835824703113436,-0.7157246864744499
PUNDIX,0.2693,3.0,2.1776351028178453,0.14917041541405013,-0.014008653743161145,0.13799215218738636,100.0,0.0,0.0,0.0,100.0,,101.0,oversold,41.21999942785096,,35.0,31.0,2.0,-0.36891828697638973,-0.03892080724194452,-0.45263503326612387
PYR,1.241,2.0,8.255934697561614,0.18165386160794128,-0.005821487629802221,0.20750041785621426,100.0,0.0,0.0,0.0,100.0,,101.0,oversold,41.19250285176812,,35.0,13.0,1.0,-0.19060683234364617,-0.04071297483152591,-0.012368605749942042
QI,0.00746,5.0,8.556453772850269,0.2279222735221071,0.23168900012463364,0.16945831731851646,101.0,0.0,10.0,0.0,0.0,,101.0,,38.200641835401434,,35.0,31.0,1.0,-0.42088198305879604,0.4496527755825601,-0.07529890498496428
QKC,0.006485,4.0,1.5296606860447288,0.13726479037598144,-0.009287187342662262,0.11337525411409635,100.0,100.0,0.0,0.0,100.0,,100.0,oversold,46.98147867496866,,35.0,13.0,2.0,-0.020484675235897098,-0.34408263911123993,-0.3372215650956112
QNT,68.9,8.0,1.611235421307343,0.15496665772216672,-0.0034615090333882962,0.3737685587190094,1.0,100.0,0.0,1.0,100.0,,100.0,,55.857320065139746,,756.0,13.0,2.0,-0.31393946880185225,0.12640673857102636,-0.5681983015963585
QTUM,1.92,4.0,2.079171070913886,0.14331940749657762,-0.002876989415179736,0.2599589191599647,1.0,100.0,0.0,0.0,100.0,,100.0,,48.09484443950557,,252.0,13.0,1.0,-0.3350990771381621,-0.45130123908359193,0.08292732087151346
QUICK,0.02736,6.0,4.110151472950197,0.3103842899443555,0.4031937967140064,0.49072249868855866,110.0,1.0,100.0,10.0,101.0,,101.0,,42.28418129669864,,35.0,56.0,1.0,-0.1922475226356081,0.1121328593979854,-0.7632372985922613
RAD,0.762,2.0,2.7798449078568606,0.23318652784818789,0.0909350869362556,0.1602618791638932,101.0,0.0,0.0,0.0,100.0,,101.0,,50.857732287657335,,35.0,119.0,1.0,-0.7948647931104564,-0.384122692545193,-0.6961759946987994
RARE,0.0598,4.0,4.72466143714318,0.22404456183766558,0.14491760660698788,0.2098322990896812,110.0,0.0,100.0,0.0,0.0,,0.0,,47.23927612757527,,-1.0,6.0,1.0,-0.3665648064437532,-0.5038771907237846,-0.8089124385764963
RAY,1.71,9.0,8.360074464561498,0.12577208892875216,0.38691871376788894,0.3195710514318496,101.0,100.0,10.0,1.0,0.0,,1.0,,41.788996613034804,,294.0,87.0,0.0,-0.37870749661973363,-0.45183002942622835,0.2526964645037956
